INSERT INTO Palabras VALUES(1,'Avocado','Aguacate');
INSERT INTO Palabras VALUES(2,'Banana','Platano');
INSERT INTO Palabras VALUES(3,'Grape','Uvas');
INSERT INTO Palabras VALUES(4,'Kiwi','Kiwi');
INSERT INTO Palabras VALUES(5,'Mango','Mango');
INSERT INTO Palabras VALUES(6,'Melon','Melon');
INSERT INTO Palabras VALUES(7,'Papaya','Papaya');
INSERT INTO Palabras VALUES(8,'Pineapple','Piña');
INSERT INTO Palabras VALUES(9,'Grapefruit','Toronja');
INSERT INTO Palabras VALUES(10,'Orange','Naranja');
INSERT INTO Palabras VALUES(11,'Coconut','Coco');
INSERT INTO Palabras VALUES(12,'Watermelon','Sandia');
INSERT INTO Palabras VALUES(13,'Apple','Manzana');
INSERT INTO Palabras VALUES(14,'Pear','Pera');
INSERT INTO Palabras VALUES(15,'Plum','Ciruela');
INSERT INTO Palabras VALUES(16,'Raspberry','Frambuesa');
INSERT INTO Palabras VALUES(17,'Strawberry','Fresa');
INSERT INTO Palabras VALUES(18,'Lemon','Limon');
INSERT INTO Palabras VALUES(19,'Cherry','Cereza');
INSERT INTO Palabras VALUES(20,'Onion','Cebolla');
INSERT INTO Palabras VALUES(21,'Cucumber','Pepino');
INSERT INTO Palabras VALUES(22,'Carrot','Zanahoria');
INSERT INTO Palabras VALUES(23,'Garlic','Ajo');
INSERT INTO Palabras VALUES(24,'Broccoli','Brocoli');
INSERT INTO Palabras VALUES(25,'Lettuce','Lechuga');
INSERT INTO Palabras VALUES(26,'Potato','Papa');
INSERT INTO Palabras VALUES(27,'Tomato','Jitomate');
INSERT INTO Palabras VALUES(28,'Pumpkin','Calabaza');
INSERT INTO Palabras VALUES(29,'Mushroom','Hongo');
INSERT INTO Palabras VALUES(30,'Cauliflower','Coliflor');
INSERT INTO Palabras VALUES(31,'Spider','Araña');
INSERT INTO Palabras VALUES(32,'Whale','Ballena');
INSERT INTO Palabras VALUES(33,'Horse','Caballo');
INSERT INTO Palabras VALUES(34,'Pig','Cerdo');
INSERT INTO Palabras VALUES(35,'Deer','Ciervo');
INSERT INTO Palabras VALUES(36,'Rabbit','Conejo');
INSERT INTO Palabras VALUES(37,'Dolphin','Delfin');
INSERT INTO Palabras VALUES(38,'Elephant','Elefante');
INSERT INTO Palabras VALUES(39,'Seal','Foca');
INSERT INTO Palabras VALUES(40,'Hen','Gallina');
INSERT INTO Palabras VALUES(41,'Cock','Gallo');
INSERT INTO Palabras VALUES(42,'Cat','Gato');
INSERT INTO Palabras VALUES(43,'Gorilla','Gorila');
INSERT INTO Palabras VALUES(44,'Hamster','Hamster');
INSERT INTO Palabras VALUES(45,'Ant','Hormiga');
INSERT INTO Palabras VALUES(46,'Giraffe','Jirafa');
INSERT INTO Palabras VALUES(47,'Lion','Leon');
INSERT INTO Palabras VALUES(48,'Wolf','Lobo');
INSERT INTO Palabras VALUES(49,'Parrot','Loro');
INSERT INTO Palabras VALUES(50,'Butterfly','Mariposa');
INSERT INTO Palabras VALUES(51,'Monkey','Mono');
INSERT INTO Palabras VALUES(52,'Fly','Mosca');
INSERT INTO Palabras VALUES(53,'Bat','Murcielago');
INSERT INTO Palabras VALUES(54,'Bear','Oso');
INSERT INTO Palabras VALUES(55,'Bird','Pajaro');
INSERT INTO Palabras VALUES(56,'Duck','Pato');
INSERT INTO Palabras VALUES(57,'Dog','Perro');
INSERT INTO Palabras VALUES(58,'Fish','Pez');
INSERT INTO Palabras VALUES(59,'Mouse','Raton');
INSERT INTO Palabras VALUES(60,'Fox','Zorro');
INSERT INTO Palabras VALUES(61,'Flashlight','Linterna');
INSERT INTO Palabras VALUES(62,'Corkscrew','Sacacorchos');
INSERT INTO Palabras VALUES(63,'Hammer','Martillo');
INSERT INTO Palabras VALUES(64,'Cloth','Trapo');
INSERT INTO Palabras VALUES(65,'Bucket','Cubeta');
INSERT INTO Palabras VALUES(66,'Brush','Cepillo');
INSERT INTO Palabras VALUES(67,'Broom','Escoba');
INSERT INTO Palabras VALUES(68,'Bandage','Venda');
INSERT INTO Palabras VALUES(69,'Rope','Cuerda');
INSERT INTO Palabras VALUES(70,'Iron','Plancha');
INSERT INTO Palabras VALUES(71,'Computer','Computadora');
INSERT INTO Palabras VALUES(72,'Flag','Bandera');
INSERT INTO Palabras VALUES(73,'Projector','Proyector');
INSERT INTO Palabras VALUES(74,'Scissors','Tijeras');
INSERT INTO Palabras VALUES(75,'Sharpener','Sacapuntas');
INSERT INTO Palabras VALUES(76,'Test','Examen');
INSERT INTO Palabras VALUES(77,'Teacher','Maestra');
INSERT INTO Palabras VALUES(78,'Poster','Cartel');
INSERT INTO Palabras VALUES(79,'Pencil','Lapiz');
INSERT INTO Palabras VALUES(80,'Library','Biblioteca');
INSERT INTO Palabras VALUES(81,'Eraser','Borrador');
INSERT INTO Palabras VALUES(82,'Classroom','Aula');
INSERT INTO Palabras VALUES(83,'Book','Libro');
INSERT INTO Palabras VALUES(84,'Backpack','Mochila');
INSERT INTO Palabras VALUES(85,'Whiteboard','Pizarra');
INSERT INTO Palabras VALUES(86,'Stapler','Grapadora');
INSERT INTO Palabras VALUES(87,'Staple','Grapa');
INSERT INTO Palabras VALUES(88,'Stamp','Sello');
INSERT INTO Palabras VALUES(89,'Photocopier','Fotocopiadora');
INSERT INTO Palabras VALUES(90,'Marker','Marcador');
INSERT INTO Palabras VALUES(91,'Keyboard','Teclado');
INSERT INTO Palabras VALUES(92,'Ink','Tinta');
INSERT INTO Palabras VALUES(93,'Calendar','Calendario');
INSERT INTO Palabras VALUES(94,'Briefcase','Maletin');
INSERT INTO Palabras VALUES(95,'Calculator','Calculadora');
INSERT INTO Palabras VALUES(96,'Calculator','Libreta');
INSERT INTO Palabras VALUES(97,'Modem','Modem');
INSERT INTO Palabras VALUES(98,'Program','Programa');
INSERT INTO Palabras VALUES(99,'Binder','Carpeta');
INSERT INTO Palabras VALUES(100,'Document','Documento');
